Kimlik_No,Ad,Soyad,Cinsiyet,Yaş,Email,Telefon,Şehir,İlçe,Rol_Kategorisi,Rol,Kıdem,Ünvan,Deneyim_Yıl,Eğitim_Seviyesi,Eğitim_Alanı,Mezuniyet_Yılı,Doğum_Yılı,İşe_Başlama_Tarihi,Maaş_TL,Şirket,Şirket_Büyüklüğü,Sektör,Çalışma_Şekli,Uzaktan_Çalışma_Oranı,Kullandığı_Teknolojiler,Ana_Programlama_Dili,İngilizce_Seviyesi,Diğer_Diller,Sertifikalar,LinkedIn_Profili,GitHub_Profili,Toplam_Proje_Sayısı,Teknik_Beceri_Puanı,Soft_Skill_Puanı,Yıllık_İzin_Gün,Son_Terfi_Tarihi
11,Yetişal,Akgündüz,Erkek,32,yetisal.akgunduz@outlook.com,0828-148 9325,İstanbul,Sarıyer,İş ve Analiz,Gereksinim Analisti,Stajyer,Stajyer Gereksinim Analisti,0.4,Yüksek Lisans,İstatistik,2017,1993,2025-04-05,9085,Netaş,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,20,"COBOL, Scala, ElasticSearch, Cassandra, Oracle, Docker, Git, Helm, Grafana",COBOL,İleri Düzey,Türkçe (Anadil),,linkedin.com/in/yetisal-akgunduz-968,github.com/yakgunduz,3,46,57,14,
12,Feyha,Duran,Kadın,50,fduran@gmail.com,+90(095)701-5430x3911,Kocaeli,Derince,QA ve Test,Yazılım Test Mühendisi,Direktör,Direktör Yazılım Test Mühendisi,28.5,Lisans,Elektrik-Elektronik Mühendisliği,1997,1975,2005-04-27,84173,BİTES,Kurumsal (1000+),Savunma Sanayi,Tam Zamanlı,0,"Swift, Ruby, PHP, Kotlin, xUnit, TestNG, Playwright, Grafana, ArgoCD",Ruby,İleri Düzey,Türkçe (Anadil),"Certified OpenStack Administrator, CompTIA Server+",linkedin.com/in/feyha-duran-498,,38,91,100,26,2025-02-21
13,Sırriye,Alemdar,Kadın,41,alemdar.sirriye@yahoo.com,+90 (822) 7824896,Konya,Bahçelievler,QA ve Test,Güvenlik Test Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı Güvenlik Test Uzmanı,13.7,Yüksek Lisans,Yönetim Bilişim Sistemleri,2008,1984,2019-04-09,44896,Aselsan,Kurumsal (1000+),Perakende,Tam Zamanlı,0,"Lua, Groovy, Gatling, Jasmine, Docker, Jenkins, Helm, Terraform",Groovy,Orta,Türkçe (Anadil),"GIAC Security Essentials (GSEC), Certified Information Security Manager (CISM)",linkedin.com/in/sirriye-alemdar-951,,46,92,90,24,2022-05-08
14,Dirlik,İhsanoğlu,Erkek,44,dirliki̇hsanoglu@gmail.com,+90(346)578-7133x1509,İzmir,Bornova,Yazılım Geliştirme,Mobil Uygulama Geliştirici,Jr.,Jr. Mobil Uygulama Geliştirici,1.8,Lisans,Bilgisayar Mühendisliği,2003,1981,2025-11-04,20784,Netaş,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,20,"COBOL, TypeScript, Assembly, F#, Bootstrap, TypeScript, Node.js, NestJS, Adonis.js, Symfony, Redis, MongoDB, Cassandra, Java (Android), SwiftUI",TypeScript,İleri Düzey,"Türkçe (Anadil), İspanyolca (Başlangıç)",,linkedin.com/in/dirlik-i̇hsanoglu-170,github.com/dirliki̇hsanoglu,8,52,57,15,2024-09-24
15,Sayin,Bilgin,Erkek,51,sayin.bilgin@outlook.com,00103105183,İstanbul,Şişli,Destek ve Operasyon,Yardım Masası Uzmanı,Lead,Lead Yardım Masası Uzmanı,10.5,Doktora,Bilişim Sistemleri,2002,1974,2022-07-27,52022,BiTaksi,Startup (1-10),E-Ticaret,Tam Zamanlı,0,"Assembly, MATLAB, ElasticSearch, Couchbase, MySQL, CockroachDB, Ansible, Chef, Prometheus",MATLAB,İleri Düzey,Türkçe (Anadil),"Cisco Certified Network Professional (CCNP), VMware Certified Network Virtualization",linkedin.com/in/sayin-bilgin-876,github.com/bilgins,30,98,55,22,2023-12-29
16,Eşref,Ülker,Erkek,37,esref_ulker@hotmail.com,+90(382)997-3763x116,İzmir,Karabağlar,Yönetim ve Liderlik,CIO,Lead,Lead CIO,9.4,Sertifika Programı,Bilişim Sistemleri,2013,1988,2023-05-10,58944,Migros Teknoloji,Büyük (201-1000),Telekom,Tam Zamanlı,20,"C++, Go, VBA, Perl, Supabase, Firestore, Firebase, Prometheus, GitHub Actions",Go,İleri,Türkçe (Anadil),"PRINCE2 Foundation/Practitioner, Project Management Professional (PMP), Certified Scrum Product Owner (CSPO)",linkedin.com/in/esref-ulker-870,,15,98,78,22,2022-11-04
17,Hükümdar,Şafak,Erkek,25,hukumdar_safak@hotmail.com,701 0 651,Trabzon,Cumhuriyet,Veri,Veri Mühendisi,Jr.,Jr. Veri Mühendisi,1.2,Lisans,Elektrik-Elektronik Mühendisliği,2022,2000,2024-03-26,19674,Obilet Technology,Startup (1-10),E-Ticaret,Tam Zamanlı,0,"Lua, Haskell, Ruby, Assembly, ElasticSearch, InfluxDB, FaunaDB, Firebase, Tableau, Keras, Ray, Hugging Face",Lua,İleri,"Türkçe (Anadil), Çince (Başlangıç)",,linkedin.com/in/hukumdar-safak-260,github.com/hukumdarsafak,3,41,54,15,
18,Erdursun,Akar,Erkek,40,erdursun.akar@gmail.com,08726247317,İstanbul,Beyoğlu,Yönetim ve Liderlik,Teknik Yönetici,Müdür Yardımcısı,Müdür Yardımcısı Teknik Yönetici,11.2,Lisans,Bilişim Sistemleri,2007,1985,2023-11-26,84591,Accenture Türkiye,Büyük (201-1000),Danışmanlık,Freelance,80,"Java, C++, Supabase, Firebase, InfluxDB, Puppet, GitHub Actions",C++,İleri Düzey,Türkçe (Anadil),"Professional Scrum Master (PSM), Disciplined Agile Senior Scrum Master (DASSM)",linkedin.com/in/erdursun-akar-718,github.com/erdursun_akar,50,100,89,23,2025-01-22
19,Zümre,Sakarya,Kadın,39,zsakarya@gmail.com,+90(801)3267736,İstanbul,Şişli,Yönetim ve Liderlik,CIO,Müdür Yardımcısı,Müdür Yardımcısı CIO,12.2,Lisans,Diğer,2008,1986,2019-11-27,78409,Havelsan,Kurumsal (1000+),Perakende,Tam Zamanlı,0,"Kotlin, R, CockroachDB, Firebase, ElasticSearch, PostgreSQL, Jenkins, GitLab CI/CD, CircleCI",R,Orta,"Türkçe (Anadil), Japonca (Orta)",,linkedin.com/in/zumre-sakarya-573,,26,93,84,23,2022-08-06
20,Altoğan,Aksu,Erkek,25,altoganaksu@gmail.com,064 7 468,İstanbul,Şişli,Yapay Zeka ve Makine Öğrenmesi,Bilgisayarla Görü Uzmanı,Mid.,Mid. Bilgisayarla Görü Uzmanı,3.5,Lise,Yönetim Bilişim Sistemleri,2018,2000,2023-12-06,34853,Roketsan,Kurumsal (1000+),E-Ticaret,Tam Zamanlı,0,"TypeScript, Clojure, F#, Luigi, SageMaker, Firestore, DynamoDB, Neo4j",Clojure,Anadil,Türkçe (Anadil),Certified Data Management Professional (CDMP),,github.com/altoganaksu,9,62,55,17,
21,Tuğtaş,Demirel,Erkek,22,tugtas_demirel@hotmail.com,+90(234)309-8050x097,İzmir,Gaziemir,DevOps ve Altyapı,Bulut Mimarı,Jr.,Jr. Bulut Mimarı,1.0,Lisans,Yazılım Mühendisliği,2025,2003,2025-06-28,20457,Veripark,Büyük (201-1000),Yazılım,Sözleşmeli,0,"Kotlin, VBA, ArgoCD, Sentry, Terraform, PostgreSQL, Oracle, Firestore, Vultr, Scaleway, Azure, Alibaba Cloud",Kotlin,İleri,Türkçe (Anadil),Red Hat Certified Specialist in Ansible Automation,,github.com/tugtasdemirel34,6,51,61,15,2024-09-24
22,Turcein,Çamurcuoğlu,Kadın,56,camurcuoglu.turcein@yahoo.com,+90(208)121-9136x1939,Diyarbakır,Yıldız,Yönetim ve Liderlik,CIO,Stajyer,Stajyer CIO,0.3,Önlisans,İstatistik,1989,1969,2025-04-24,10312,Arçelik A.Ş.,Büyük (201-1000),Perakende,Tam Zamanlı,0,"Java, Kotlin, Firebase, MariaDB, Helm, Terraform, Grafana",Kotlin,İleri,"Türkçe (Anadil), Almanca (Başlangıç)",SAFe Agilist,,github.com/camurcuoglut,2,47,63,14,
23,İçimbike,Türk,Kadın,51,i̇cimbike_turk@hotmail.com,+90 (699) 8543534,İzmir,Karşıyaka,Veri,Veri Mimarı,Müdür Yardımcısı,Müdür Yardımcısı Veri Mimarı,14.9,Lisans,Elektronik Haberleşme,1996,1974,2022-05-15,66330,Cybersoft,Büyük (201-1000),Yazılım,Tam Zamanlı,20,"Objective-C, Swift, COBOL, MySQL, ElasticSearch, DynamoDB, Ray, CUDA",COBOL,Anadil,"Türkçe (Anadil), Arapça (Orta)","IBM Data Science Professional Certificate, Certified Data Management Professional (CDMP), IBM Data Science Professional Certificate, SAS Certified Data Scientist",linkedin.com/in/i̇cimbike-turk-885,github.com/turki,23,100,97,24,2021-01-13
24,Kopan,Yaman,Erkek,59,kopan_yaman@hotmail.com,0751-079 9118,İzmir,Konak,Yapay Zeka ve Makine Öğrenmesi,NLP Uzmanı,Müdür,Müdür NLP Uzmanı,13.4,Önlisans,Yazılım Mühendisliği,1986,1966,2017-09-17,96687,Innova,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,0,"MATLAB, JavaScript, NLTK, CUDA, ElasticSearch, FaunaDB, MariaDB, MongoDB",JavaScript,Başlangıç,Türkçe (Anadil),"IBM Data Science Professional Certificate, SAS Certified Data Scientist",,github.com/kyaman,20,100,92,24,2021-12-09
25,Dorukhan,Zorlu,Erkek,26,dorukhan.zorlu@outlook.com,0251-354 2784,Kocaeli,Darıca,QA ve Test,Test Uzmanı,Stajyer,Stajyer Test Uzmanı,0.0,Lise,Diğer,2017,1999,2025-02-08,9158,Cybersoft,Büyük (201-1000),Finans/Bankacılık,Tam Zamanlı,20,"Objective-C, VBA, C#, WireMock, Cypress, PyTest, Helm, CircleCI, Kubernetes, TeamCity",Objective-C,İleri,"Türkçe (Anadil), Japonca (Orta), Almanca (Orta)",,linkedin.com/in/dorukhan-zorlu-225,,2,37,46,14,
26,Tanpınar,Sezgin,Erkek,23,tanpinar.sezgin@gmail.com,+90(084)124-1182x4493,Antalya,Konyaaltı,DevOps ve Altyapı,Sistem Yöneticisi,Stajyer,Stajyer Sistem Yöneticisi,0.4,Lisans,Elektrik-Elektronik Mühendisliği,2024,2002,2025-06-25,9518,STM,Büyük (201-1000),Savunma Sanayi,Hibrit,60,"TypeScript, Elixir, Terraform, Docker, Cassandra, Couchbase, MySQL, Tencent Cloud, AWS",TypeScript,İleri Düzey,Türkçe (Anadil),Aruba Certified Switching Associate,linkedin.com/in/tanpinar-sezgin-625,,2,48,47,14,
27,Yaşattin,Şama,Erkek,55,yasattin_sama@hotmail.com,04874016400,Ankara,Çankaya,Yazılım Geliştirme,Web Geliştirici,Müdür,Müdür Web Geliştirici,15.4,Önlisans,Elektrik-Elektronik Mühendisliği,1990,1970,2024-02-03,70115,Softtech,Orta (51-200),Finans/Bankacılık,Tam Zamanlı,20,"COBOL, Kotlin, Scala, Lua, Bootstrap, Nuxt.js, Webpack, Less, Flask, Deno, Strapi, Redis, Neo4j, InfluxDB, Cassandra",Lua,İleri,Türkçe (Anadil),"Zend Certified PHP Engineer, Zend Certified PHP Engineer",linkedin.com/in/yasattin-sama-483,,41,98,80,26,2024-09-24
28,Güçyeter,Öcalan,Erkek,28,gucyeter.ocalan@outlook.com,0427 868 01 12,İzmir,Karşıyaka,Destek ve Operasyon,IT Destek Uzmanı,Mid.,Mid. IT Destek Uzmanı,4.0,Lisans,Yönetim Bilişim Sistemleri,2019,1997,2024-12-02,25592,ALTINAY Robot,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"Elixir, Perl, SQL Server, MariaDB, TeamCity, Git, CircleCI, Grafana",Perl,İleri Düzey,"Türkçe (Anadil), Japonca (Orta), Rusça (Başlangıç)",,linkedin.com/in/gucyeter-ocalan-880,,10,61,46,18,2024-05-27
29,Sancak,Türk,Erkek,47,sancak.turk@gmail.com,(982)620 4505,İstanbul,Maslak,Yazılım Geliştirme,Backend Geliştirici,Müdür Yardımcısı,Müdür Yardımcısı Backend Geliştirici,12.7,Lisans,Yazılım Mühendisliği,2000,1978,2015-06-10,65909,METEKSAN Savunma,Orta (51-200),Savunma Sanayi,Tam Zamanlı,20,"Elixir, JavaScript, Nuxt.js, Apollo Client, Next.js, Koa.js, Gin, CodeIgniter, Redis, Firestore, SQL Server",JavaScript,İleri,Türkçe (Anadil),"MongoDB Certified Developer, Oracle Certified Professional, Java SE Programmer, Node.js Application Developer",,github.com/sancakturk27,50,97,78,23,2023-08-31
30,Dirican,Tarhan,Erkek,22,tarhan.dirican@yahoo.com,01586923226,İzmir,Karşıyaka,DevOps ve Altyapı,Windows Sistem Uzmanı,Stajyer,Stajyer Windows Sistem Uzmanı,0.3,Lisans,İstatistik,2025,2003,2025-07-28,11356,Deloitte Digital,Kurumsal (1000+),Danışmanlık,Sözleşmeli,20,"Objective-C, Scala, COBOL, Helm, GitHub Actions, Git, ArgoCD, Couchbase, SQLite, Vercel, Scaleway, Cloudflare, DigitalOcean",Objective-C,İleri,Türkçe (Anadil),,linkedin.com/in/dirican-tarhan-180,,2,42,47,14,
31,Akar,Akçay,Erkek,54,akar.akcay@outlook.com,(634)216 0733,İstanbul,Sarıyer,Güvenlik,SOC Analisti,Müdür Yardımcısı,Müdür Yardımcısı SOC Analisti,13.6,Yüksek Lisans,Fizik,1995,1971,2015-02-05,64833,Veripark,Orta (51-200),Danışmanlık,Tam Zamanlı,0,"Assembly, Objective-C, MATLAB, Veracode, John the Ripper, Checkmarx, OWASP ZAP, Jenkins, Chef, Puppet",MATLAB,İleri,Türkçe (Anadil),,linkedin.com/in/akar-akcay-417,,21,85,86,24,
32,İdiris,Çamurcuoğlu,Erkek,27,icamurcuoglu@gmail.com,+90(543)303-6541x458,Ankara,Sincan,Yönetim ve Liderlik,CISO,Mid.,Mid. CISO,4.9,Lisans,Bilgisayar Mühendisliği,2020,1998,2025-11-07,31863,HP Türkiye,Büyük (201-1000),Danışmanlık,Tam Zamanlı,0,"JavaScript, Dart, Clojure, C++, Cassandra, InfluxDB, SonarQube, Sentry, Ansible",Clojure,İleri,Türkçe (Anadil),Professional Scrum Master (PSM),linkedin.com/in/i̇diris-camurcuoglu-746,,6,65,65,18,2023-03-04
33,Kotuz,Tarhan,Erkek,60,kotuztarhan@gmail.com,+90(501)429-4019x6556,İstanbul,Levent,DevOps ve Altyapı,Linux Yöneticisi,Lead,Lead Linux Yöneticisi,11.9,Lisans,Yazılım Mühendisliği,1987,1965,2023-12-03,58124,OBSS,Kurumsal (1000+),Danışmanlık,Tam Zamanlı,20,"Clojure, Elixir, SonarQube, TeamCity, Docker, Firebase, SQLite, Redis, Netlify, IBM Cloud, Vercel",Clojure,Orta,Türkçe (Anadil),"ITIL Foundation, ITIL Foundation, Oracle Cloud Infrastructure Developer",linkedin.com/in/kotuz-tarhan-884,,34,100,61,23,2020-10-15
34,Tali,Zorlu,Erkek,32,tali.zorlu@outlook.com,+90 (693) 4060883,İstanbul,Maltepe,Tasarım ve Kullanıcı Deneyimi,Web Tasarımcısı,Jr.,Jr. Web Tasarımcısı,2.0,Lisans,Bilgisayar Programcılığı,2015,1993,2024-04-18,19335,Hitachi Türkiye,Büyük (201-1000),Yazılım,Tam Zamanlı,20,"Axure RP, Marvel, Zeplin, Webpack, Next.js, Vue.js",,İleri Düzey,"Türkçe (Anadil), Almanca (Başlangıç)",,linkedin.com/in/tali-zorlu-667,,7,54,46,16,2024-09-24
35,Jankat,Şafak,Erkek,54,jankatsafak@gmail.com,+90 (595) 1484656,Kocaeli,İzmit,Güvenlik,Adli Bilişim Uzmanı,Müdür Yardımcısı,Müdür Yardımcısı Adli Bilişim Uzmanı,14.7,Lisans,Yazılım Mühendisliği,1993,1971,2016-04-13,64282,Iyzico,Startup (1-10),Finans/Bankacılık,Uzaktan,100,"Clojure, Kotlin, Haskell, C#, Nmap, Aircrack-ng, Terraform, Chef, Puppet",Clojure,İleri Düzey,Türkçe (Anadil),"Certified Information Systems Auditor (CISA), Certified Ethical Hacker (CEH)",linkedin.com/in/jankat-safak-343,,21,94,90,24,2021-12-09
36,Vedat,Arslan,Erkek,29,arslan.vedat@yahoo.com,+90(236)629-9468x0443,Ankara,Çankaya,Destek ve Operasyon,Altyapı Teknisyeni,Jr.,Jr. Altyapı Teknisyeni,1.6,Lisans,Bilgisayar Mühendisliği,2018,1996,2025-04-19,17982,Roketsan,Kurumsal (1000+),E-Ticaret,Hibrit,20,"Perl, Java, Clojure, MariaDB, DynamoDB, MySQL, Jenkins, TeamCity, Grafana",Clojure,İleri,Türkçe (Anadil),,linkedin.com/in/vedat-arslan-446,,3,52,56,15,
37,Melihcan,Çetin,Erkek,33,melihcancetin@gmail.com,(777)387 2148,İstanbul,Üsküdar,Yazılım Geliştirme,Oyun Geliştirici,Jr.,Jr. Oyun Geliştirici,0.6,Lisans,Bilgisayar Mühendisliği,2014,1992,2025-09-13,24738,BİTES,Büyük (201-1000),Savunma Sanayi,Tam Zamanlı,0,"Rust, Assembly, Java, Tailwind CSS, jQuery, TypeScript, Material UI, Symfony, Gin, Deno, SQLite, CockroachDB, FaunaDB",Java,İleri Düzey,Türkçe (Anadil),"Oracle Certified Professional, Java EE Developer",linkedin.com/in/melihcan-cetin-942,github.com/melihcancetin38,2,42,50,14,
38,Tükelalp,Şener,Erkek,60,tukelalp.sener@outlook.com,(134)332 0037,İstanbul,Üsküdar,Tasarım ve Kullanıcı Deneyimi,Grafik Tasarımcı,Stajyer,Stajyer Grafik Tasarımcı,0.4,Doktora,Matematik,1993,1965,2025-05-21,11003,Hepsiburada Tech,Kurumsal (1000+),Telekom,Tam Zamanlı,0,"Sketch, UXPin, Apollo Client, Nuxt.js, CSS, React",,Orta,"Türkçe (Anadil), Fransızca (Başlangıç)",,linkedin.com/in/tukelalp-sener-795,,2,42,54,14,
39,Tanhan,Akdeniz,Erkek,55,tanhan_akdeniz@hotmail.com,+90 (769) 3676320,İstanbul,Maslak,Yapay Zeka ve Makine Öğrenmesi,Yapay Zeka Araştırmacısı,Jr.,Jr. Yapay Zeka Araştırmacısı,0.5,Önlisans,Yazılım Mühendisliği,1990,1970,2025-05-25,26789,Microsoft Türkiye,Kurumsal (1000+),Yazılım,Tam Zamanlı,0,"MATLAB, C++, Apache Kafka, Scikit-learn, CUDA, Dask, MariaDB, MongoDB, Firebase, Firestore",MATLAB,İleri Düzey,"Türkçe (Anadil), Rusça (Orta)",,linkedin.com/in/tanhan-akdeniz-305,,3,45,40,14,
40,Çapkan,Bilge,Erkek,51,cbilge@gmail.com,+90 (632) 8708317,İstanbul,Beşiktaş,Veri,ETL Geliştirici,Müdür,Müdür ETL Geliştirici,20.0,Lisans,Yazılım Mühendisliği,1996,1974,2018-10-03,83255,Sipay,Startup (1-10),Oyun,Tam Zamanlı,20,"C#, F#, Assembly, Supabase, SQLite, Oracle, Neo4j, PyTorch, Pandas, Airflow, NumPy",F#,Orta,Türkçe (Anadil),"Snowflake SnowPro Core Certification, Microsoft Certified: Data Engineer, Certified Data Management Professional (CDMP)",linkedin.com/in/capkan-bilge-664,github.com/capkanbilge81,39,100,87,26,2024-04-27
41,Bektaşi,Sezgin,Erkek,59,bektasisezgin@gmail.com,+90(889)579-8687x277,İstanbul,Levent,İş ve Analiz,Gereksinim Analisti,Stajyer,Stajyer Gereksinim Analisti,0.4,Lise,Elektrik-Elektronik Mühendisliği,1984,1966,2025-11-07,10576,ThoughtWorks,Büyük (201-1000),Yazılım,Sözleşmeli,20,"Clojure, Swift, Perl, ElasticSearch, Firebase, Jenkins, Kubernetes, Ansible",Swift,İleri,Türkçe (Anadil),,linkedin.com/in/bektasi-sezgin-835,,2,43,44,14,
42,Erksoy,İnönü,Erkek,28,erksoy_i̇nonu@hotmail.com,04873471434,İstanbul,Beşiktaş,Yapay Zeka ve Makine Öğrenmesi,Bilgisayarla Görü Uzmanı,Jr.,Jr. Bilgisayarla Görü Uzmanı,0.7,Önlisans,Yönetim Bilişim Sistemleri,2017,1997,2025-04-28,30463,Tapu.com,Küçük (11-50),Yazılım,Freelance,100,"MATLAB, Perl, Swift, Python, Power BI, Airflow, Cassandra, Redis, MariaDB",MATLAB,Orta,Türkçe (Anadil),Cloudera Certified Associate Data Analyst,linkedin.com/in/erksoy-i̇nonu-967,github.com/erksoyi̇nonu18,7,49,53,14,
